1.6292	3.6906	5.3198
1.2182	0.8574	2.0756
1.1182	0.1509	1.2691
1.0698	0.0264	1.0963
1.0809	0.0076	1.0884
1.0986	0.0053	1.1040
1.0329	0.0056	1.0386
1.0682	0.0088	1.0770
1.0910	0.0088	1.0998
1.0456	0.0120	1.0576
1.0255	0.0122	1.0377
1.0568	0.0138	1.0706
1.0550	0.0151	1.0701
1.0323	0.0169	1.0492
1.0138	0.0158	1.0296
0.9821	0.0241	1.0062
0.9999	0.0194	1.0193
1.0113	0.0261	1.0375
1.0246	0.0329	1.0575
1.0106	0.0259	1.0365
1.0028	0.0251	1.0278
1.0028	0.0247	1.0275
1.0117	0.0313	1.0429
0.9893	0.0275	1.0169
0.9485	0.0261	0.9746
0.9740	0.0296	1.0035
0.9729	0.0288	1.0017
0.9266	0.0375	0.9641
0.9457	0.0312	0.9769
0.9457	0.0382	0.9839
0.9463	0.0351	0.9814
0.9199	0.0454	0.9653
0.9691	0.0407	1.0098
0.8944	0.0433	0.9377
0.8946	0.0461	0.9407
0.9053	0.0498	0.9550
0.9445	0.0433	0.9878
0.8988	0.0465	0.9453
0.8978	0.0518	0.9496
0.8942	0.0556	0.9497
0.8999	0.0549	0.9548
0.9007	0.0637	0.9644
0.8698	0.0567	0.9265
0.8727	0.0651	0.9378
0.9051	0.0688	0.9739
0.8798	0.0664	0.9462
0.8693	0.0663	0.9356
0.8409	0.0647	0.9056
0.8704	0.0552	0.9256
0.8551	0.0625	0.9176
0.8519	0.0710	0.9229
0.8340	0.0579	0.8919
0.8591	0.0653	0.9244
0.8192	0.0694	0.8885
0.8126	0.0705	0.8832
0.8166	0.0764	0.8930
0.8489	0.0718	0.9207
0.8446	0.0570	0.9016
0.8077	0.0691	0.8768
0.8537	0.0637	0.9174
0.7726	0.0675	0.8401
0.8266	0.0632	0.8898
0.8135	0.0653	0.8788
0.8171	0.0747	0.8918
0.8296	0.0767	0.9064
0.8129	0.0727	0.8856
0.7945	0.0644	0.8589
0.8208	0.0720	0.8928
0.7703	0.0673	0.8375
0.8412	0.0649	0.9061
0.7937	0.0725	0.8662
0.7691	0.0711	0.8402
0.7944	0.0727	0.8671
0.7527	0.0625	0.8152
0.7324	0.0741	0.8065
0.8054	0.0712	0.8765
0.7630	0.0679	0.8309
0.7586	0.0739	0.8325
0.7613	0.0713	0.8327
0.7641	0.0633	0.8274
0.7724	0.0742	0.8466
0.7897	0.0690	0.8587
0.7659	0.0844	0.8503
0.8119	0.0685	0.8804
0.7877	0.0674	0.8551
0.7538	0.0664	0.8202
0.7846	0.0719	0.8565
0.7357	0.0713	0.8071
0.7881	0.0789	0.8671
0.7620	0.0762	0.8382
0.7516	0.0753	0.8269
0.7726	0.0758	0.8484
0.7215	0.0749	0.7964
0.7389	0.0792	0.8180
0.7561	0.0864	0.8425
0.7649	0.0729	0.8378
0.7451	0.0738	0.8190
0.7461	0.0843	0.8305
0.7809	0.0800	0.8609
0.7025	0.0869	0.7894
0.7104	0.0733	0.7837
0.7523	0.0864	0.8387
0.6548	0.0769	0.7317
0.6955	0.0815	0.7771
0.7042	0.0744	0.7786
0.6988	0.0808	0.7796
0.7307	0.0869	0.8176
0.6868	0.0880	0.7748
0.7009	0.0927	0.7936
0.7241	0.0858	0.8098
0.6849	0.0790	0.7639
0.7246	0.0801	0.8048
0.7380	0.0846	0.8226
0.7127	0.0869	0.7996
0.6993	0.0790	0.7783
0.6575	0.0854	0.7429
0.6584	0.0798	0.7382
0.7066	0.0797	0.7862
0.6947	0.0871	0.7818
0.6615	0.0867	0.7482
0.6594	0.0924	0.7519
0.6924	0.0842	0.7765
0.7331	0.0912	0.8242
0.6718	0.0950	0.7668
0.7081	0.0865	0.7946
0.6921	0.0891	0.7811
0.6267	0.0834	0.7100
0.6134	0.0895	0.7029
0.6589	0.0865	0.7454
0.6644	0.0885	0.7528
0.6857	0.0824	0.7681
0.6541	0.0843	0.7384
0.6218	0.0920	0.7138
0.6556	0.0929	0.7485
0.6775	0.0951	0.7726
0.6112	0.0883	0.6995
0.6491	0.0971	0.7462
0.6020	0.0879	0.6899
0.5951	0.0882	0.6833
0.5922	0.0821	0.6743
0.5246	0.0862	0.6108
0.5718	0.0855	0.6573
0.5373	0.0835	0.6208
0.5341	0.0808	0.6149
0.5338	0.0836	0.6174
0.5094	0.0775	0.5869
0.4961	0.0784	0.5745
0.5024	0.0791	0.5815
0.5117	0.0696	0.5813
0.5621	0.0749	0.6370
0.5081	0.0629	0.5710
0.4811	0.0628	0.5440
0.5148	0.0568	0.5716
0.4712	0.0556	0.5267
0.4767	0.0500	0.5267
0.4648	0.0450	0.5098
0.4579	0.0505	0.5084
0.4549	0.0413	0.4962
0.4656	0.0411	0.5066
0.4369	0.0391	0.4761
0.4299	0.0354	0.4653
0.3938	0.0334	0.4272
0.4353	0.0307	0.4661
0.4104	0.0292	0.4395
0.4387	0.0283	0.4670
0.4109	0.0263	0.4372
0.4506	0.0234	0.4740
0.4159	0.0209	0.4368
0.4234	0.0222	0.4455
0.3799	0.0186	0.3985
0.4060	0.0180	0.4240
0.4527	0.0149	0.4676
0.3806	0.0149	0.3954
0.3670	0.0134	0.3804
0.3772	0.0135	0.3908
0.4149	0.0121	0.4269
0.3930	0.0115	0.4044
0.3951	0.0102	0.4053
0.4178	0.0094	0.4273
0.3315	0.0084	0.3399
0.3531	0.0076	0.3607
0.3683	0.0072	0.3754
0.3515	0.0079	0.3594
0.3449	0.0064	0.3513
0.3302	0.0060	0.3362
0.3766	0.0052	0.3819
0.3901	0.0048	0.3949
0.3648	0.0043	0.3691
0.3628	0.0045	0.3673
0.3502	0.0042	0.3544
0.3449	0.0038	0.3487
0.3783	0.0035	0.3818
0.2946	0.0032	0.2978
0.3541	0.0029	0.3570
0.3095	0.0029	0.3124
0.3329	0.0025	0.3354
0.3003	0.0026	0.3028
0.3481	0.0022	0.3502
0.3577	0.0024	0.3601
0.3188	0.0021	0.3209
